GrainSize,C,Mn,Si,Ni,Cr,Mo,W,As,V,Cu,t85,HV_total
5.0,0.28,0.81,1.05,0.11,1.06,0.0,0.0,0.0,0.0,0.17,39.113,464.78
6.0,0.3,0.98,0.94,0.13,0.83,0.0,0.0,0.0,0.0,0.28,5.391,571.717
7.0,0.32,1.0,1.09,0.15,1.0,0.0,0.0,0.0,0.0,0.18,3.393,600.247
7.0,0.29,0.84,0.97,0.18,1.06,0.0,0.0,0.0,0.0,0.26,7.366,561.269
5.0,0.31,1.09,0.91,0.26,0.98,0.0,0.0,0.0,0.0,0.27,4.848,584.288
7.0,0.33,0.81,1.19,0.28,0.95,0.0,0.0,0.0,0.0,0.27,5.843,604.987
5.0,0.28,0.87,1.12,0.28,0.97,0.0,0.0,0.0,0.0,0.3,4.861,560.321
7.0,0.31,1.03,0.97,0.16,0.85,0.0,0.0,0.0,0.0,0.13,12.642,570.353
6.0,0.29,1.0,1.01,0.14,0.89,0.0,0.0,0.0,0.0,0.3,8.054,560.622
5.0,0.33,0.91,0.95,0.13,1.08,0.0,0.0,0.0,0.0,0.28,11.669,594.255
7.0,0.32,1.04,1.13,0.24,1.07,0.0,0.0,0.0,0.0,0.26,6.588,596.97
6.0,0.33,0.96,0.95,0.21,0.91,0.0,0.0,0.0,0.0,0.25,6.725,597.727
7.0,0.31,0.89,1.11,0.17,1.08,0.0,0.0,0.0,0.0,0.18,3.325,592.358
6.0,0.33,1.1,0.92,0.24,1.0,0.0,0.0,0.0,0.0,0.16,25.619,587.481
6.0,0.29,0.81,1.12,0.21,1.02,0.0,0.0,0.0,0.0,0.17,11.437,557.43
6.0,0.3,0.97,1.12,0.15,0.81,0.0,0.0,0.0,0.0,0.14,5.317,576.445
5.0,0.33,0.95,1.1,0.15,0.88,0.0,0.0,0.0,0.0,0.26,7.22,600.042
6.0,0.33,0.9,1.11,0.19,0.85,0.0,0.0,0.0,0.0,0.18,12.605,594.033
5.0,0.33,0.97,1.02,0.23,0.96,0.0,0.0,0.0,0.0,0.28,6.592,600.847
5.0,0.32,0.87,1.06,0.17,0.91,0.0,0.0,0.0,0.0,0.18,5.85,591.809
5.0,0.28,0.83,1.04,0.26,1.07,0.0,0.0,0.0,0.0,0.24,26.155,524.971
5.0,0.3,0.8,1.05,0.3,1.07,0.0,0.0,0.0,0.0,0.2,19.268,561.682
5.0,0.3,1.05,0.98,0.16,1.04,0.0,0.0,0.0,0.0,0.19,142.18,389.934
7.0,0.3,1.1,0.93,0.28,1.01,0.0,0.0,0.0,0.0,0.3,23.904,555.76
6.0,0.31,0.81,1.16,0.11,0.93,0.0,0.0,0.0,0.0,0.15,7.86,581.624
5.0,0.3,0.83,1.02,0.28,1.09,0.0,0.0,0.0,0.0,0.13,8.009,572.898
5.0,0.28,1.1,1.2,0.15,1.03,0.0,0.0,0.0,0.0,0.19,3.323,568.367
6.0,0.32,1.03,1.12,0.15,1.0,0.0,0.0,0.0,0.0,0.22,14.32,588.923
5.0,0.3,0.81,1.19,0.14,0.86,0.0,0.0,0.0,0.0,0.16,8.985,570.054
5.0,0.33,0.97,1.05,0.1,1.1,0.0,0.0,0.0,0.0,0.16,3.149,609.534
6.0,0.29,1.04,1.08,0.12,1.07,0.0,0.0,0.0,0.0,0.18,27.599,543.736
7.0,0.31,0.81,1.07,0.18,0.82,0.0,0.0,0.0,0.0,0.16,10.176,560.695
7.0,0.33,0.95,0.91,0.19,0.83,0.0,0.0,0.0,0.0,0.19,206.897,209.229
6.0,0.29,0.92,1.06,0.17,0.94,0.0,0.0,0.0,0.0,0.18,3.04,571.616
5.0,0.32,0.96,1.16,0.2,0.89,0.0,0.0,0.0,0.0,0.19,15.136,586.599
5.0,0.31,0.84,1.02,0.24,0.84,0.0,0.0,0.0,0.0,0.15,3.561,585.506
6.0,0.32,1.05,1.09,0.22,1.08,0.0,0.0,0.0,0.0,0.12,18.094,587.701
7.0,0.31,0.9,0.98,0.18,0.83,0.0,0.0,0.0,0.0,0.25,66.667,322.371
7.0,0.28,0.93,1.09,0.15,1.0,0.0,0.0,0.0,0.0,0.24,5.505,558.569
7.0,0.28,0.97,1.12,0.29,0.97,0.0,0.0,0.0,0.0,0.16,33.37,487.575
7.0,0.33,0.84,1.11,0.23,1.06,0.0,0.0,0.0,0.0,0.22,28.143,568.87
7.0,0.32,1.01,1.09,0.28,0.81,0.0,0.0,0.0,0.0,0.29,23.715,559.694
7.0,0.31,0.86,1.17,0.3,1.07,0.0,0.0,0.0,0.0,0.17,5.641,589.127
5.0,0.29,0.9,1.08,0.16,0.98,0.0,0.0,0.0,0.0,0.29,14.259,554.854
6.0,0.28,0.84,1.11,0.26,0.83,0.0,0.0,0.0,0.0,0.27,3.097,561.99
6.0,0.34,0.92,0.96,0.19,0.99,0.0,0.0,0.0,0.0,0.17,4.614,610.89
5.0,0.34,1.07,1.05,0.26,0.88,0.0,0.0,0.0,0.0,0.3,3.299,616.161
5.0,0.34,0.88,1.19,0.13,0.81,0.0,0.0,0.0,0.0,0.3,3.858,614.899
5.0,0.29,1.06,0.91,0.23,0.98,0.0,0.0,0.0,0.0,0.21,4.025,567.683
7.0,0.33,0.84,1.2,0.3,1.07,0.0,0.0,0.0,0.0,0.22,5.045,608.978
5.0,0.32,0.89,0.97,0.19,1.08,0.0,0.0,0.0,0.0,0.19,15.283,584.583
7.0,0.32,0.99,1.01,0.17,0.82,0.0,0.0,0.0,0.0,0.24,5.968,591.659
6.0,0.3,0.96,1.19,0.13,0.98,0.0,0.0,0.0,0.0,0.14,14.844,566.73
6.0,0.29,0.9,1.07,0.1,0.97,0.0,0.0,0.0,0.0,0.21,857.143,188.827
6.0,0.28,0.84,1.02,0.26,1.05,0.0,0.0,0.0,0.0,0.19,11.641,547.494
5.0,0.32,0.99,1.19,0.13,1.03,0.0,0.0,0.0,0.0,0.26,10.338,592.443
5.0,0.31,0.91,1.15,0.2,0.92,0.0,0.0,0.0,0.0,0.12,3.246,591.56
6.0,0.29,0.98,0.93,0.24,1.09,0.0,0.0,0.0,0.0,0.14,3.504,570.434
6.0,0.3,0.96,1.16,0.27,1.05,0.0,0.0,0.0,0.0,0.16,3.404,585.13
5.0,0.29,1.04,1.01,0.27,0.99,0.0,0.0,0.0,0.0,0.12,6.505,566.27
5.0,0.31,1.08,0.99,0.23,0.94,0.0,0.0,0.0,0.0,0.19,16.502,574.894
6.0,0.31,1.06,1.15,0.13,1.06,0.0,0.0,0.0,0.0,0.27,4.185,591.972
6.0,0.33,0.83,1.15,0.15,1.02,0.0,0.0,0.0,0.0,0.12,7.109,602.437
6.0,0.29,0.86,1.01,0.12,1.05,0.0,0.0,0.0,0.0,0.12,7.968,561.182
7.0,0.31,0.91,1.11,0.29,0.91,0.0,0.0,0.0,0.0,0.14,36.63,499.034
5.0,0.29,0.85,1.2,0.3,0.95,0.0,0.0,0.0,0.0,0.1,3.77,573.853
5.0,0.3,1.09,1.09,0.19,0.94,0.0,0.0,0.0,0.0,0.24,179.641,381.045
6.0,0.33,1.0,1.15,0.21,1.08,0.0,0.0,0.0,0.0,0.29,51.195,568.525
7.0,0.31,1.09,0.94,0.2,1.07,0.0,0.0,0.0,0.0,0.11,12.102,578.433
5.0,0.32,1.03,1.1,0.18,0.86,0.0,0.0,0.0,0.0,0.28,1500.0,200.613
6.0,0.29,0.9,1.2,0.17,1.09,0.0,0.0,0.0,0.0,0.14,3.082,577.428
5.0,0.33,1.02,0.93,0.3,0.8,0.0,0.0,0.0,0.0,0.15,4.079,601.342
5.0,0.31,0.93,1.0,0.29,1.06,0.0,0.0,0.0,0.0,0.22,3.848,588.559
6.0,0.3,1.09,0.95,0.29,0.88,0.0,0.0,0.0,0.0,0.12,8.352,571.355
6.0,0.29,0.99,0.95,0.21,0.9,0.0,0.0,0.0,0.0,0.24,5.052,564.492
7.0,0.31,1.04,1.04,0.16,0.83,0.0,0.0,0.0,0.0,0.23,4.621,585.072
6.0,0.32,1.02,0.9,0.17,0.81,0.0,0.0,0.0,0.0,0.23,6.237,586.984
7.0,0.3,0.96,0.9,0.16,0.91,0.0,0.0,0.0,0.0,0.11,5.609,570.833
7.0,0.31,1.01,1.16,0.26,1.08,0.0,0.0,0.0,0.0,0.18,5.445,590.661
7.0,0.3,1.0,0.93,0.16,1.04,0.0,0.0,0.0,0.0,0.21,3.51,578.077
6.0,0.29,0.91,0.9,0.21,0.88,0.0,0.0,0.0,0.0,0.23,5.364,561.726
6.0,0.3,0.86,1.17,0.29,0.92,0.0,0.0,0.0,0.0,0.28,4.364,580.138
5.0,0.29,0.85,0.94,0.25,0.97,0.0,0.0,0.0,0.0,0.16,56.075,430.884
6.0,0.3,0.9,1.15,0.28,0.89,0.0,0.0,0.0,0.0,0.25,4.321,579.572
5.0,0.31,1.09,1.07,0.23,1.09,0.0,0.0,0.0,0.0,0.12,82.418,530.43
7.0,0.32,1.04,1.17,0.12,0.97,0.0,0.0,0.0,0.0,0.18,3.4,601.49
5.0,0.33,1.06,1.15,0.2,0.92,0.0,0.0,0.0,0.0,0.19,4.454,607.381
6.0,0.29,1.01,1.17,0.17,0.81,0.0,0.0,0.0,0.0,0.12,10.402,558.692
5.0,0.28,0.9,1.1,0.19,0.91,0.0,0.0,0.0,0.0,0.11,34.682,483.728
6.0,0.33,0.97,0.93,0.17,0.86,0.0,0.0,0.0,0.0,0.11,9.94,594.131
6.0,0.32,1.02,0.91,0.11,0.86,0.0,0.0,0.0,0.0,0.15,8.484,586.063
5.0,0.3,1.0,1.05,0.23,0.84,0.0,0.0,0.0,0.0,0.29,3.213,579.475
6.0,0.33,1.05,1.18,0.25,1.07,0.0,0.0,0.0,0.0,0.11,4.116,611.565
7.0,0.3,0.83,0.96,0.19,0.81,0.0,0.0,0.0,0.0,0.28,6.153,566.59
7.0,0.3,0.83,1.15,0.21,0.93,0.0,0.0,0.0,0.0,0.21,4.487,579.647
7.0,0.31,0.92,0.93,0.17,1.04,0.0,0.0,0.0,0.0,0.2,8.097,579.706
5.0,0.3,0.95,1.07,0.1,0.98,0.0,0.0,0.0,0.0,0.2,3.188,580.729
7.0,0.31,1.06,1.16,0.22,0.96,0.0,0.0,0.0,0.0,0.24,3.705,592.471
6.0,0.29,1.09,1.13,0.13,0.93,0.0,0.0,0.0,0.0,0.2,3.819,572.811
7.0,0.31,0.94,1.02,0.17,0.91,0.0,0.0,0.0,0.0,0.17,8.104,579.353
5.0,0.33,0.85,1.0,0.17,0.81,0.0,0.0,0.0,0.0,0.27,3.133,603.485
5.0,0.31,0.94,0.96,0.28,0.82,0.0,0.0,0.0,0.0,0.12,10.552,574.517
5.0,0.32,0.95,1.02,0.21,0.98,0.0,0.0,0.0,0.0,0.29,115.83,404.739
7.0,0.31,0.89,1.12,0.26,1.1,0.0,0.0,0.0,0.0,0.14,9.158,585.146
5.0,0.31,1.04,0.99,0.15,1.0,0.0,0.0,0.0,0.0,0.16,15.33,575.607
5.0,0.29,0.98,1.12,0.14,0.86,0.0,0.0,0.0,0.0,0.13,12.848,555.502
6.0,0.31,0.91,0.93,0.27,0.89,0.0,0.0,0.0,0.0,0.24,3.394,585.324
6.0,0.3,0.88,1.18,0.28,0.83,0.0,0.0,0.0,0.0,0.16,20.747,538.503
5.0,0.33,1.01,0.9,0.28,0.92,0.0,0.0,0.0,0.0,0.13,8.448,595.581
5.0,0.33,0.99,0.98,0.11,1.01,0.0,0.0,0.0,0.0,0.21,3.301,606.098
5.0,0.28,1.08,1.02,0.19,0.89,0.0,0.0,0.0,0.0,0.29,3.827,560.112
6.0,0.33,0.86,1.02,0.15,0.91,0.0,0.0,0.0,0.0,0.23,3.073,605.736
7.0,0.33,1.08,1.13,0.18,0.92,0.0,0.0,0.0,0.0,0.24,5.582,604.861
5.0,0.32,0.82,1.01,0.16,0.84,0.0,0.0,0.0,0.0,0.18,10.479,582.376
5.0,0.29,0.9,0.9,0.29,1.03,0.0,0.0,0.0,0.0,0.2,6.535,562.533
7.0,0.31,1.05,1.12,0.15,0.83,0.0,0.0,0.0,0.0,0.11,3.262,589.82
5.0,0.29,0.98,1.03,0.29,0.96,0.0,0.0,0.0,0.0,0.12,3.003,572.853
5.0,0.28,0.89,1.12,0.18,0.89,0.0,0.0,0.0,0.0,0.15,3.154,562.962
7.0,0.31,0.92,1.07,0.11,0.86,0.0,0.0,0.0,0.0,0.29,3.231,587.891
6.0,0.3,0.86,0.97,0.28,0.97,0.0,0.0,0.0,0.0,0.24,28.517,527.419
7.0,0.3,1.01,0.98,0.27,1.01,0.0,0.0,0.0,0.0,0.26,3.943,578.87
6.0,0.33,1.0,1.12,0.18,0.96,0.0,0.0,0.0,0.0,0.29,3.723,608.634
6.0,0.29,0.88,1.14,0.25,0.99,0.0,0.0,0.0,0.0,0.11,5.028,570.192
6.0,0.3,0.84,1.2,0.24,0.94,0.0,0.0,0.0,0.0,0.27,9.219,572.539
6.0,0.33,1.06,1.13,0.27,0.95,0.0,0.0,0.0,0.0,0.3,6.489,604.471
7.0,0.3,0.98,1.06,0.18,1.02,0.0,0.0,0.0,0.0,0.19,24.39,545.368
7.0,0.33,0.84,1.02,0.23,0.95,0.0,0.0,0.0,0.0,0.24,9.859,596.184
6.0,0.29,0.91,0.95,0.21,0.83,0.0,0.0,0.0,0.0,0.12,5.728,561.144
5.0,0.29,0.89,1.09,0.12,0.96,0.0,0.0,0.0,0.0,0.15,43.29,470.426
7.0,0.31,0.95,1.1,0.27,1.09,0.0,0.0,0.0,0.0,0.19,8.757,586.123
6.0,0.31,0.97,1.19,0.21,0.87,0.0,0.0,0.0,0.0,0.15,4.521,588.976
7.0,0.31,0.83,1.1,0.11,1.02,0.0,0.0,0.0,0.0,0.26,4.55,587.153
6.0,0.33,0.82,0.96,0.29,0.89,0.0,0.0,0.0,0.0,0.2,53.286,458.836
5.0,0.32,0.82,0.99,0.27,0.81,0.0,0.0,0.0,0.0,0.13,72.464,335.258
7.0,0.33,0.83,0.92,0.22,0.83,0.0,0.0,0.0,0.0,0.27,4.117,599.357
5.0,0.3,1.08,0.99,0.15,0.99,0.0,0.0,0.0,0.0,0.11,71.09,495.441
7.0,0.31,0.86,1.09,0.2,0.82,0.0,0.0,0.0,0.0,0.25,4.047,585.807
6.0,0.3,0.95,0.99,0.11,1.09,0.0,0.0,0.0,0.0,0.22,3.726,578.997
7.0,0.32,0.87,0.97,0.13,0.82,0.0,0.0,0.0,0.0,0.2,3.46,593.001
6.0,0.33,1.0,1.09,0.29,0.99,0.0,0.0,0.0,0.0,0.29,11.107,598.676
7.0,0.34,0.89,1.19,0.29,0.86,0.0,0.0,0.0,0.0,0.21,6.228,612.739
7.0,0.3,0.88,0.94,0.19,1.04,0.0,0.0,0.0,0.0,0.11,8.929,568.144
7.0,0.3,0.95,1.0,0.22,1.04,0.0,0.0,0.0,0.0,0.16,5.579,575.681
7.0,0.31,1.07,0.99,0.17,0.94,0.0,0.0,0.0,0.0,0.19,9.696,579.259
6.0,0.31,1.02,1.09,0.1,1.09,0.0,0.0,0.0,0.0,0.1,44.379,543.736
6.0,0.3,1.02,1.08,0.15,1.01,0.0,0.0,0.0,0.0,0.12,4.841,578.849
6.0,0.31,1.04,1.07,0.16,0.98,0.0,0.0,0.0,0.0,0.12,30.992,559.397
6.0,0.29,0.96,0.91,0.22,0.87,0.0,0.0,0.0,0.0,0.18,5.271,562.305
7.0,0.29,1.06,1.13,0.13,1.05,0.0,0.0,0.0,0.0,0.18,4.193,572.97
5.0,0.34,0.89,1.14,0.25,1.1,0.0,0.0,0.0,0.0,0.2,11.062,609.695
5.0,0.31,1.0,0.98,0.27,1.07,0.0,0.0,0.0,0.0,0.1,54.645,546.783
7.0,0.34,0.86,1.05,0.2,1.02,0.0,0.0,0.0,0.0,0.18,7.262,609.097
6.0,0.29,0.96,1.1,0.2,0.89,0.0,0.0,0.0,0.0,0.22,10.152,559.355
5.0,0.3,1.03,1.18,0.26,0.96,0.0,0.0,0.0,0.0,0.21,5.658,580.309
5.0,0.33,1.04,1.13,0.27,0.85,0.0,0.0,0.0,0.0,0.15,158.73,388.453
6.0,0.3,0.9,1.09,0.23,0.93,0.0,0.0,0.0,0.0,0.2,8.511,571.957
7.0,0.33,1.03,0.97,0.2,1.04,0.0,0.0,0.0,0.0,0.23,77.519,490.632
5.0,0.31,1.08,1.1,0.11,1.05,0.0,0.0,0.0,0.0,0.12,21.583,575.559
6.0,0.33,0.98,0.91,0.25,0.84,0.0,0.0,0.0,0.0,0.14,6.998,595.718
6.0,0.31,1.02,0.95,0.28,1.0,0.0,0.0,0.0,0.0,0.15,3.15,588.983
7.0,0.29,0.86,1.08,0.22,0.89,0.0,0.0,0.0,0.0,0.22,3.047,571.076
7.0,0.33,0.94,0.91,0.29,0.9,0.0,0.0,0.0,0.0,0.14,10.838,593.314
6.0,0.31,1.05,1.1,0.17,0.91,0.0,0.0,0.0,0.0,0.19,36.408,541.466
6.0,0.32,0.87,1.06,0.19,1.08,0.0,0.0,0.0,0.0,0.16,24.814,571.081
5.0,0.32,0.85,1.05,0.21,1.07,0.0,0.0,0.0,0.0,0.22,6.547,593.164
5.0,0.29,0.99,0.93,0.17,0.98,0.0,0.0,0.0,0.0,0.17,24.272,542.005
5.0,0.33,0.86,1.19,0.24,1.04,0.0,0.0,0.0,0.0,0.13,30.581,582.567
7.0,0.3,1.07,1.17,0.29,0.96,0.0,0.0,0.0,0.0,0.21,15.432,569.213
6.0,0.32,0.83,0.96,0.18,0.8,0.0,0.0,0.0,0.0,0.21,3.22,593.027
5.0,0.3,0.8,1.18,0.23,0.87,0.0,0.0,0.0,0.0,0.18,13.993,557.22
7.0,0.32,0.99,1.14,0.11,1.08,0.0,0.0,0.0,0.0,0.24,5.671,597.777
6.0,0.29,1.02,1.05,0.3,0.99,0.0,0.0,0.0,0.0,0.2,21.246,549.965
5.0,0.3,0.96,0.95,0.2,1.07,0.0,0.0,0.0,0.0,0.11,6.859,572.892
5.0,0.31,1.01,1.08,0.24,1.03,0.0,0.0,0.0,0.0,0.24,5.062,588.221
6.0,0.34,0.93,0.95,0.27,0.99,0.0,0.0,0.0,0.0,0.22,73.892,514.94
5.0,0.28,0.86,1.16,0.27,0.86,0.0,0.0,0.0,0.0,0.29,3.465,563.095
6.0,0.33,0.94,1.02,0.26,1.02,0.0,0.0,0.0,0.0,0.24,10.691,597.331
7.0,0.32,1.0,1.03,0.14,1.03,0.0,0.0,0.0,0.0,0.17,8.961,591.81
6.0,0.3,1.0,1.13,0.19,0.87,0.0,0.0,0.0,0.0,0.19,17.762,558.812
7.0,0.31,0.98,1.03,0.28,0.93,0.0,0.0,0.0,0.0,0.16,15.601,571.583
6.0,0.33,1.05,0.93,0.14,0.98,0.0,0.0,0.0,0.0,0.1,4.324,602.729
5.0,0.32,0.83,0.91,0.12,1.05,0.0,0.0,0.0,0.0,0.29,3.977,593.271
5.0,0.32,0.85,1.03,0.13,0.92,0.0,0.0,0.0,0.0,0.22,3.793,594.555
7.0,0.33,0.97,1.08,0.28,1.02,0.0,0.0,0.0,0.0,0.27,9.251,600.132
7.0,0.33,0.87,1.19,0.23,0.96,0.0,0.0,0.0,0.0,0.11,7.603,605.202
6.0,0.32,0.89,0.91,0.29,0.92,0.0,0.0,0.0,0.0,0.11,3.616,593.477
7.0,0.31,1.0,1.18,0.13,0.87,0.0,0.0,0.0,0.0,0.2,4.702,588.044
6.0,0.31,0.89,1.17,0.18,0.89,0.0,0.0,0.0,0.0,0.1,32.751,516.127
7.0,0.33,0.83,1.2,0.29,1.05,0.0,0.0,0.0,0.0,0.15,6.304,606.455
6.0,0.33,1.05,0.95,0.11,0.81,0.0,0.0,0.0,0.0,0.22,3.284,602.819
5.0,0.3,0.8,1.2,0.29,0.92,0.0,0.0,0.0,0.0,0.18,4.053,580.959
5.0,0.29,1.0,1.03,0.16,0.93,0.0,0.0,0.0,0.0,0.23,217.391,304.079
6.0,0.32,1.08,1.15,0.21,0.92,0.0,0.0,0.0,0.0,0.11,6.639,595.252
7.0,0.31,0.85,1.07,0.1,1.03,0.0,0.0,0.0,0.0,0.15,3.396,589.3
7.0,0.28,0.94,0.99,0.13,0.95,0.0,0.0,0.0,0.0,0.12,3.171,560.52
6.0,0.31,1.1,1.1,0.26,0.92,0.0,0.0,0.0,0.0,0.23,7.106,585.077
6.0,0.3,1.07,1.02,0.26,1.08,0.0,0.0,0.0,0.0,0.27,8.078,575.129
6.0,0.31,1.09,1.19,0.1,0.86,0.0,0.0,0.0,0.0,0.27,7.446,586.507
6.0,0.3,0.87,1.11,0.27,0.86,0.0,0.0,0.0,0.0,0.24,12.102,564.162
6.0,0.28,0.92,0.94,0.18,0.84,0.0,0.0,0.0,0.0,0.15,25.489,477.334
5.0,0.3,0.96,1.0,0.25,0.95,0.0,0.0,0.0,0.0,0.21,5.277,575.102
6.0,0.33,0.92,0.95,0.15,0.88,0.0,0.0,0.0,0.0,0.14,8.547,596.031
7.0,0.31,0.91,1.03,0.21,0.88,0.0,0.0,0.0,0.0,0.17,3.883,586.153
7.0,0.31,0.91,0.98,0.3,0.91,0.0,0.0,0.0,0.0,0.23,3.825,586.142
7.0,0.31,0.94,0.99,0.24,0.99,0.0,0.0,0.0,0.0,0.15,3.42,588.549
5.0,0.32,0.93,0.94,0.2,1.03,0.0,0.0,0.0,0.0,0.2,4.113,594.586
6.0,0.28,0.93,1.09,0.23,0.98,0.0,0.0,0.0,0.0,0.27,4.671,560.295
6.0,0.34,1.03,0.98,0.21,1.05,0.0,0.0,0.0,0.0,0.29,3.27,616.85
5.0,0.29,1.03,1.0,0.22,0.9,0.0,0.0,0.0,0.0,0.22,5.122,566.23
5.0,0.32,1.1,1.17,0.18,0.81,0.0,0.0,0.0,0.0,0.17,9.467,590.807
6.0,0.32,0.86,1.19,0.21,0.86,0.0,0.0,0.0,0.0,0.2,5.177,595.82
7.0,0.33,0.98,0.92,0.19,0.89,0.0,0.0,0.0,0.0,0.14,96.463,353.648
5.0,0.32,0.89,1.11,0.14,1.07,0.0,0.0,0.0,0.0,0.22,5.202,596.74
7.0,0.29,1.09,1.02,0.28,0.8,0.0,0.0,0.0,0.0,0.26,17.71,542.317
7.0,0.31,0.88,0.93,0.23,0.9,0.0,0.0,0.0,0.0,0.19,21.157,538.512
6.0,0.31,0.91,0.97,0.21,0.82,0.0,0.0,0.0,0.0,0.14,6.814,578.795
7.0,0.3,0.85,0.98,0.14,1.07,0.0,0.0,0.0,0.0,0.26,4.732,575.963
6.0,0.28,0.93,0.92,0.18,0.96,0.0,0.0,0.0,0.0,0.11,3.896,557.213
5.0,0.31,1.02,1.11,0.22,1.04,0.0,0.0,0.0,0.0,0.16,3.201,593.29
7.0,0.34,1.01,1.1,0.28,0.81,0.0,0.0,0.0,0.0,0.15,9.174,609.23
7.0,0.29,1.03,1.16,0.24,0.84,0.0,0.0,0.0,0.0,0.16,4.413,571.089
7.0,0.3,0.86,1.19,0.22,0.92,0.0,0.0,0.0,0.0,0.16,3.181,582.988
6.0,0.32,1.05,0.92,0.17,0.82,0.0,0.0,0.0,0.0,0.19,23.81,565.342
7.0,0.28,0.92,1.16,0.19,0.98,0.0,0.0,0.0,0.0,0.24,7.371,556.1
7.0,0.28,0.91,1.09,0.13,0.85,0.0,0.0,0.0,0.0,0.15,7.911,546.601
6.0,0.33,1.03,1.17,0.18,1.07,0.0,0.0,0.0,0.0,0.21,22.989,595.689
6.0,0.3,0.81,1.15,0.19,0.94,0.0,0.0,0.0,0.0,0.23,25.773,516.036
6.0,0.31,0.92,1.13,0.13,1.08,0.0,0.0,0.0,0.0,0.11,5.732,587.963
5.0,0.34,1.09,1.07,0.22,0.95,0.0,0.0,0.0,0.0,0.23,3.003,618.557
5.0,0.33,1.06,1.09,0.1,0.86,0.0,0.0,0.0,0.0,0.13,4.805,603.948
7.0,0.3,1.08,1.16,0.1,0.86,0.0,0.0,0.0,0.0,0.26,31.48,507.997
5.0,0.32,0.92,1.0,0.27,1.0,0.0,0.0,0.0,0.0,0.19,4.888,594.6
5.0,0.33,0.91,0.98,0.16,0.94,0.0,0.0,0.0,0.0,0.23,85.96,436.44
6.0,0.29,1.03,1.11,0.3,0.97,0.0,0.0,0.0,0.0,0.2,3.444,573.97
7.0,0.29,0.82,0.92,0.24,0.85,0.0,0.0,0.0,0.0,0.28,4.233,562.803
5.0,0.32,0.92,1.15,0.13,1.02,0.0,0.0,0.0,0.0,0.14,6.679,595.002
7.0,0.29,0.89,1.03,0.15,0.9,0.0,0.0,0.0,0.0,0.14,5.031,564.749
6.0,0.32,0.92,1.14,0.29,1.0,0.0,0.0,0.0,0.0,0.17,7.172,594.443
5.0,0.3,0.95,0.97,0.29,1.08,0.0,0.0,0.0,0.0,0.24,6.195,575.12
5.0,0.34,0.99,1.11,0.14,0.81,0.0,0.0,0.0,0.0,0.26,5.001,611.689
7.0,0.29,1.08,1.19,0.24,0.8,0.0,0.0,0.0,0.0,0.14,3.327,573.796
5.0,0.32,0.86,1.02,0.14,0.93,0.0,0.0,0.0,0.0,0.23,12.417,583.688
5.0,0.32,0.83,1.03,0.29,0.92,0.0,0.0,0.0,0.0,0.26,3.15,597.291
6.0,0.29,1.06,1.02,0.17,1.09,0.0,0.0,0.0,0.0,0.25,3.664,572.769
5.0,0.29,0.88,0.91,0.19,0.85,0.0,0.0,0.0,0.0,0.26,4.137,563.071
6.0,0.31,1.03,1.0,0.26,0.94,0.0,0.0,0.0,0.0,0.25,6.031,583.431
6.0,0.31,1.02,1.14,0.14,0.85,0.0,0.0,0.0,0.0,0.22,3.997,588.423
6.0,0.32,1.05,1.07,0.14,0.88,0.0,0.0,0.0,0.0,0.26,4.645,595.42
6.0,0.33,0.8,1.07,0.18,0.82,0.0,0.0,0.0,0.0,0.1,3.632,603.715
